%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
1776753558061759472,0,1776753558061759472,camera_init,body,0.11815483213041034,-0.02600108788344802,0.00020775687775635493,1.1113266649631075e-05,2.2553630545665007e-05,0.0069549804133198605,0.9999758135151467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776753558161759615,1,1776753558161759615,camera_init,body,0.2340136337988227,-0.0642803714002376,0.0012937907410490372,1.6259012582327427e-06,0.0001248573170331888,0.013623188765647283,0.999907192261294,1.503917663736587e-07,6.1469403653963785e-09,1.9845262433200562e-10,-4.41137245959719e-09,8.954994842880204e-08,8.391026077331538e-08,6.146940480038356e-09,2.290398763982182e-07,4.778316336289801e-10,-1.3720802524708198e-07,-9.415135071317443e-10,9.70766681904707e-07,1.9845254284735007e-10,4.778316268307069e-10,2.1312508402537844e-07,-7.249113307408369e-08,-9.044798663080362e-07,1.9127869708204866e-09,-4.411372440081551e-09,-1.3720802433114798e-07,-7.24911332273056e-08,1.7723880878506293e-06,3.450920015929393e-07,-5.811792819729885e-07,8.954994842880204e-08,-9.415135650281403e-10,-9.044798688127271e-07,3.450920016570553e-07,6.052029673186965e-06,3.136121694636199e-08,8.39102612437755e-08,9.707666762590916e-07,1.9127870039905396e-09,-5.811792805468005e-07,3.1361217033034965e-08,4.975666240580878e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776753558261759520,2,1776753558261759520,camera_init,body,0.3497330152094878,-0.11184009269105295,0.001842387062896342,2.0626581282342232e-05,0.00015776163669626632,0.020166286090999814,0.99979662711529,1.4954407681330094e-07,9.587463140739587e-09,8.695102732508275e-10,-1.0013085926882812e-08,8.410591512377156e-08,9.75767296367819e-08,9.587463140751277e-09,2.3203986202393337e-07,1.76571877313991e-09,-1.409290768101521e-07,-7.684675925698357e-09,9.60714902243825e-07,8.695102732438161e-10,1.7657187731404777e-09,2.0644018796652603e-07,-6.667960749371273e-08,-8.321378691574434e-07,9.424810320694685e-09,-1.0013085926812308e-08,-1.4092907680949066e-07,-6.667960749348292e-08,1.781921563519251e-06,3.2783690733681085e-07,-5.909050236162289e-07,8.410591512343338e-08,-7.684675925700144e-09,-8.321378691563549e-07,3.278369073366916e-07,5.562415341197821e-06,-6.931748701858691e-09,9.75767296362171e-08,9.607149022418737e-07,9.424810320676694e-09,-5.909050236156306e-07,-6.931748702177897e-09,4.8379140122657704e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776753558361759663,3,1776753558361759663,camera_init,body,0.46514553202300873,-0.16540817283521708,0.0019743424585407835,1.9699342917504274e-05,0.00017159979991479213,0.026631280090360934,0.9996453096404736,1.4592403762982533e-07,7.311871324950872e-09,7.157752793912706e-10,-8.361490600145093e-09,8.10832745858506e-08,9.250866630252507e-08,7.311871324944245e-09,1.9838059401988938e-07,7.439994893953356e-10,-1.1259629388001502e-07,-3.7216900389731892e-09,7.673968512907044e-07,7.157752794130825e-10,7.439994895017696e-10,1.876280928252307e-07,-5.181895079343739e-08,-6.842494747960281e-07,3.918614184111733e-09,-8.361490600932397e-09,-1.1259629388633315e-07,-5.181895079321831e-08,1.464862223998457e-06,2.6314844732083824e-07,-4.480164669435769e-07,8.108327458580052e-08,-3.72169003933472e-09,-6.842494747960611e-07,2.631484473224453e-07,4.549916930148227e-06,1.7111883967651862e-08,9.250866630250734e-08,7.673968512903199e-07,3.918614183597905e-09,-4.48016466912152e-07,1.7111883969363233e-08,3.7960254785294075e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776753558461759567,4,1776753558461759567,camera_init,body,0.5805813993514529,-0.221879648470616,0.0018492898699532755,3.4404950929193195e-05,0.00016398488236265388,0.03328522082821848,0.9994458794750608,1.43711309791777e-07,5.620389557706274e-09,2.747531532074396e-09,-9.08272851460092e-09,6.58296759492056e-08,7.717383496957663e-08,5.62038955771308e-09,1.7682511619845621e-07,5.751514405280678e-10,-9.661315559444161e-08,-4.595067962244933e-09,6.440108491640264e-07,2.7475315320845265e-09,5.751514406108431e-10,1.7915179212928725e-07,-3.357450742542592e-08,-6.060824586211455e-07,4.2322817587450675e-09,-9.082728515456085e-09,-9.661315560136663e-08,-3.357450742522705e-08,1.3193196241828298e-06,1.944663562833459e-07,-3.733047016256199e-07,6.5829675949139e-08,-4.595067962661634e-09,-6.060824586209629e-07,1.9446635628489756e-07,4.068995619516627e-06,2.7236569127341444e-09,7.717383496954313e-08,6.440108491635369e-07,4.232281758353082e-09,-3.733047015915997e-07,2.7236569146451963e-09,3.130086051152014e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776753558561759472,5,1776753558561759472,camera_init,body,0.6964651805270097,-0.2755108092566972,0.0017706768678443093,9.856816964720912e-06,0.0001537209778163039,0.04025436880886249,0.9991894525386593,1.451529973143072e-07,3.726981014855747e-09,3.7938570730919535e-09,-8.985352580882163e-09,5.956126477868916e-08,6.46339589256563e-08,3.726981014864891e-09,1.6792602784703484e-07,2.4336676367750107e-10,-8.965067238844842e-08,-5.100729289012423e-09,5.79204396058945e-07,3.793857073099695e-09,2.433667637358952e-10,1.7790218572520357e-07,-2.2396794435608417e-08,-5.550732274894978e-07,3.1597809043050238e-09,-8.985352581247532e-09,-8.96506723916302e-08,-2.2396794435506333e-08,1.2752133317162636e-06,1.4750715363496737e-07,-3.3142312959930425e-07,5.956126477864511e-08,-5.1007292894077755e-09,-5.550732274894445e-07,1.475071536357559e-07,3.727402466378941e-06,-3.4847866994864955e-09,6.463395892563885e-08,5.792043960587567e-07,3.1597809040304788e-09,-3.3142312958397856e-07,-3.4847866976487483e-09,2.7613848976921277e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776753558661759615,6,1776753558661759615,camera_init,body,0.8131151178978288,-0.3218266488359814,0.0017901409429403748,-7.849205878931743e-05,0.00017478246329561336,0.04753387660054424,0.9988696080397141,1.482179778379138e-07,3.0787540784332508e-09,4.433742310262401e-09,-9.517085084079749e-09,5.8305937338458566e-08,5.9018756656000894e-08,3.0787540784375463e-09,1.6810604787018802e-07,-1.8780282927225948e-10,-8.68467135798454e-08,-5.972965265786732e-09,5.568093373408619e-07,4.4337423102669186e-09,-1.8780282923537162e-10,1.7577334921547403e-07,-2.2004188905445716e-08,-5.614103191850277e-07,2.276563164700538e-09,-9.5170850841123e-09,-8.68467135801298e-08,-2.2004188905419203e-08,1.2756083840677517e-06,1.4462699859812489e-07,-3.090128638496962e-07,5.83059373384448e-08,-5.972965266033218e-09,-5.614103191851298e-07,1.4462699859833466e-07,3.7214414292131117e-06,-1.1622577874785573e-08,5.901875665600046e-08,5.568093373406256e-07,2.276563164529415e-09,-3.0901286384832737e-07,-1.1622577873650405e-08,2.6098088337268027e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776753558761759520,7,1776753558761759520,camera_init,body,0.9314379296732191,-0.35581017813614835,0.0018724905829601728,-0.00013483350268215906,0.00018663852401459984,0.055117958786149265,0.9984798233340699,1.502897350398781e-07,2.0331515939307495e-09,4.356527669486023e-09,-8.754495847155869e-09,6.024494979100042e-08,5.349594835426897e-08,2.03315159393604e-09,1.7329328862671534e-07,-1.591228997320138e-11,-8.901360971649155e-08,-9.257487832992788e-09,5.577440026102028e-07,4.356527669488871e-09,-1.591228996147806e-11,1.8145453499860559e-07,-1.6256835593792567e-08,-5.755333514771684e-07,2.3351275061942014e-09,-8.754495847122292e-09,-8.901360971610838e-08,-1.6256835593781615e-08,1.271485410837742e-06,1.333820959944233e-07,-3.0690663266002496e-07,6.024494979097617e-08,-9.257487833061861e-09,-5.755333514771055e-07,1.3338209599445718e-07,3.819000840496078e-06,-2.054055598104118e-08,5.3495948354281306e-08,5.577440026101102e-07,2.335127506142066e-09,-3.0690663266176217e-07,-2.0540555980731323e-08,2.5668671968704576e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776753558861759663,8,1776753558861759663,camera_init,body,1.0514482103534344,-0.37463162129391947,0.0015791132532374773,-0.00010893513181604545,0.0001689176895276387,0.06287002660764154,0.9980217028473409,1.512385055572356e-07,2.2894696248127286e-09,3.6777947531779665e-09,-1.1328781211107565e-08,5.991975660564204e-08,4.817584693741034e-08,2.2894696248147685e-09,1.7927456088972273e-07,-2.345583901543416e-10,-9.329440949667647e-08,-8.811703768674122e-09,5.615955065831579e-07,3.677794753177299e-09,-2.345583901540224e-10,1.87781929727554e-07,-1.6546331019827232e-09,-5.762981383558445e-07,2.068238053520781e-09,-1.1328781211105937e-08,-9.329440949664185e-08,-1.6546331019727011e-09,1.2473362651268924e-06,6.1723997913743e-08,-3.119333775934114e-07,5.991975660563061e-08,-8.81170376867305e-09,-5.762981383558829e-07,6.172399791380373e-08,3.785608982416014e-06,-1.7493173831667808e-08,4.817584693738616e-08,5.615955065828644e-07,2.0682380535200502e-09,-3.1193337759338304e-07,-1.7493173831681056e-08,2.527579111639445e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776753558961759567,9,1776753558961759567,camera_init,body,1.1722354401620443,-0.37265518190428554,0.0013360011326289457,-0.00015782385902291248,0.0001519278972839623,0.07034677185369134,0.9975225730274525,1.5719124196048522e-07,-1.454582955047819e-09,4.173789364725234e-09,-1.0355611419132438e-08,5.1269247229211433e-08,3.656426533226857e-08,-1.4545829550484432e-09,1.8744859980779658e-07,-8.939958485129881e-10,-9.77862698955728e-08,-6.478906206326894e-09,5.738968042050409e-07,4.1737893647205224e-09,-8.939958485138136e-10,1.877763748224192e-07,-3.4263105341266324e-09,-5.728556073158506e-07,-1.0410823530464551e-09,-1.0355611419159715e-08,-9.778626989599357e-08,-3.426310534106886e-09,1.22488434959238e-06,3.9670702117368316e-08,-3.242834212408112e-07,5.126924722921249e-08,-6.4789062063253454e-09,-5.728556073157785e-07,3.9670702117486794e-08,3.7753171665010487e-06,-6.773322395997889e-09,3.656426533225982e-08,5.738968042051399e-07,-1.041082353039582e-09,-3.242834212389958e-07,-6.773322396018982e-09,2.5484818500937202e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
