timestamp,mode,feats_down_size,effective_correspondence_count,residual_mean,residual_std,residual_max,signed_dist_abs_mean,signed_dist_abs_std,signed_dist_abs_max,tangent_lp_mean,tangent_lp_max,planarity_mean,acceptance_ratio,match_time,solve_time,kdtree_search_time,kdtree_incremental_time
0.300000,plane_baseline,2330,2256,0.000257,0.002223,0.055149,0.000257,0.002223,0.055149,0.000000,0.000000,0.999727,0.968240,0.004951,0.000247,0.005739,0.001969
0.400000,plane_baseline,2310,2255,0.001485,0.006528,0.092070,0.001485,0.006528,0.092070,0.000000,0.000000,0.998618,0.976190,0.004946,0.000247,0.005649,0.001887
0.500000,plane_baseline,2321,2285,0.002400,0.007814,0.094512,0.002400,0.007814,0.094512,0.000000,0.000000,0.998386,0.984489,0.005279,0.000277,0.005567,0.001807
0.600000,plane_baseline,2270,2255,0.002536,0.007561,0.091085,0.002536,0.007561,0.091085,0.000000,0.000000,0.998328,0.993392,0.004919,0.000168,0.005646,0.001536
0.700000,plane_baseline,2247,2232,0.002423,0.007234,0.090590,0.002423,0.007234,0.090590,0.000000,0.000000,0.998271,0.993324,0.004851,0.000245,0.005515,0.001419
0.800000,plane_baseline,2226,2212,0.002142,0.007600,0.091637,0.002142,0.007600,0.091637,0.000000,0.000000,0.998139,0.993711,0.004777,0.000163,0.005440,0.001009
0.900000,plane_baseline,2194,2177,0.002093,0.007197,0.090656,0.002093,0.007197,0.090656,0.000000,0.000000,0.998223,0.992252,0.005574,0.000176,0.006096,0.000576
1.000000,plane_baseline,2192,2177,0.002536,0.007460,0.091305,0.002536,0.007460,0.091305,0.000000,0.000000,0.998561,0.993157,0.005347,0.000163,0.005903,0.001153
1.100000,plane_baseline,2158,2131,0.003183,0.005872,0.089457,0.003183,0.005872,0.089457,0.000000,0.000000,0.999561,0.987488,0.005392,0.000172,0.005628,0.000891
1.200000,plane_baseline,2093,2079,0.004003,0.006463,0.088653,0.004003,0.006463,0.088653,0.000000,0.000000,0.999629,0.993311,0.004809,0.000157,0.005214,0.000970
1.300000,plane_baseline,2054,2042,0.004444,0.007585,0.089211,0.004444,0.007585,0.089211,0.000000,0.000000,0.999504,0.994158,0.005249,0.000349,0.005427,0.000931
1.400000,plane_baseline,2035,2024,0.004213,0.007261,0.087190,0.004213,0.007261,0.087190,0.000000,0.000000,0.999379,0.994595,0.005847,0.000185,0.005458,0.000811
