%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
1776755610274471045,0,1776755610274471045,camera_init,body,0.013315576141275385,-0.05850942621662478,0.003237626854329455,-0.0003404883847800362,0.0027214508253006536,0.006117448851458093,0.9999775270437906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776755610374471188,1,1776755610374471188,camera_init,body,0.014091709570307084,-0.08328003915106738,-0.032678099550009665,-0.00109538197198899,0.001013486176770823,0.009301036657119247,0.9999556308662937,7.041428107257275e-09,7.204181616594283e-09,-5.714121014462753e-10,6.067172453024308e-09,4.012362608829534e-09,4.178149704316297e-08,7.204181835970364e-09,4.551757926130051e-08,-1.0071878270722708e-08,3.113588584180427e-08,6.132164490470562e-08,2.6281535947581554e-07,-5.714114530933762e-10,-1.0071870716594046e-08,1.0354810120460911e-08,-5.856618017090784e-09,-5.91224596951153e-08,-6.21267251347638e-08,6.06717215465187e-09,3.113587956904418e-08,-5.856621216557842e-09,1.61317332825206e-07,3.4305790562547385e-08,1.7788491505669064e-07,4.012359555716216e-09,6.132161980238957e-08,-5.9122513185855784e-08,3.430579757007533e-08,3.5096337680506906e-07,3.8663829458059294e-07,4.178149010683634e-08,2.628152969189535e-07,-6.212682116601897e-08,1.7788492606365334e-07,3.866382604392502e-07,1.5764298233467144e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776755610474471092,2,1776755610474471092,camera_init,body,0.0272510018069486,-0.09660249723957749,-0.0633377819694942,-0.00020168554984631925,0.0018017184516774653,0.007784600205217503,0.9999680560563947,4.6633201372499e-09,1.2449099631726974e-09,-5.395655640277144e-10,-2.4784550412560965e-09,2.851514839724418e-09,6.05015990095108e-09,1.2449099631653743e-09,1.9880388586266252e-08,-1.0459530718353189e-09,1.3790939263682347e-08,6.08752931233385e-09,9.433609830412529e-08,-5.395655640272604e-10,-1.0459530718651884e-09,3.3509761901884174e-09,-2.1228666935998926e-09,-1.1252684426956625e-08,-4.1929119475977525e-09,-2.4784550415040463e-09,1.3790939265044058e-08,-2.1228666927454402e-09,2.2309988102590939e-07,9.493556893122764e-09,9.145538152708547e-08,2.8515148394726375e-09,6.087529312010555e-09,-1.1252684424941812e-08,9.493556859759271e-09,5.116076762755328e-08,3.091579764511423e-08,6.050159900558871e-09,9.433609830046997e-08,-4.192911947355991e-09,9.145538156708702e-08,3.0915797661316595e-08,4.83832248182603e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776755610574471235,3,1776755610574471235,camera_init,body,0.0443547031170831,-0.10352458172106488,-0.0945274974527578,0.0010583673614813565,0.001802257703331376,0.006646338030408562,0.9999757286636928,6.068663941529817e-10,1.4883327559029925e-10,-3.4361791419886996e-10,3.3068266182197635e-10,1.3325812671937025e-09,1.071338883485214e-09,1.4883327554197825e-10,1.1969436418439927e-09,9.438353448472559e-12,1.1961490154492365e-09,-7.455814896054026e-11,5.602204630207361e-09,-3.4361791464767794e-10,9.438351159622238e-12,1.2939989199595289e-08,-4.8002101572232116e-09,-4.913942173796882e-08,3.811912438803069e-11,3.3068266121902124e-10,1.1961490132014228e-09,-4.80021015389708e-09,1.6082777906728711e-07,-1.7827828634024414e-09,6.034196834645285e-09,1.3325812690605632e-09,-7.455813925098277e-11,-4.9139421737352344e-08,-1.782782842307033e-09,2.0630675923820747e-07,2.8999181121777876e-10,1.071338883082205e-09,5.602204629569227e-09,3.811913638156062e-11,6.034196842876645e-09,2.899917596460719e-10,2.9866047059525766e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776755610674471140,4,1776755610674471140,camera_init,body,0.06698115074308898,-0.1146229386558929,-0.12456089107935336,0.0009857833399242115,0.0013457347399548675,0.006116373871496438,0.9999799033980034,9.958909704115438e-10,1.5857553094511165e-10,-1.4987090908977804e-10,-1.982065117828495e-10,6.820367609896504e-10,1.6040183556491315e-09,1.58575530928473e-10,2.2484768104816103e-09,3.7279591438433536e-10,-3.024755176037296e-10,-2.450246823715468e-09,8.663949005618132e-09,-1.4987090916993391e-10,3.7279591397559916e-10,7.374960124468036e-09,8.226185036679015e-09,-3.552983386053921e-08,1.7505490810563925e-09,-1.9820651195042638e-10,-3.024755184516096e-10,8.226185036789711e-09,6.94728506488066e-08,-5.231255520200122e-08,-3.1817547406415354e-10,6.82036761526881e-10,-2.450246821075799e-09,-3.5529833860577855e-08,-5.231255520108277e-08,2.0162015507784726e-07,-9.477315584182858e-09,1.6040183556589865e-09,8.663949006254343e-09,1.7505490831507807e-09,-3.1817546983704223e-10,-9.477315596274687e-09,4.128570249048665e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776755610774471045,5,1776755610774471045,camera_init,body,0.09604723163947008,-0.1308028754427455,-0.15155668252231985,0.0005077336608353436,0.00109516833288152,0.007360381428616066,0.9999721834121563,1.14539832413369e-09,1.2351800192811948e-10,-7.681970058344032e-11,-1.951313750642268e-10,3.11983477579173e-10,6.891113072245321e-10,1.2351800192837358e-10,1.8403465230828206e-09,1.9000502775128778e-10,-3.5136716715052596e-10,-9.15549783888876e-10,7.191245561445027e-09,-7.681970059015786e-11,1.9000502769087717e-10,3.018676298537819e-09,6.034539999294399e-09,-1.2792345755746566e-08,8.980583167759151e-10,-1.9513137510876055e-10,-3.5136716739129507e-10,6.034539999079369e-09,3.859462643392442e-08,-2.7972114350458635e-08,-5.04577005443266e-10,3.1198347759918415e-10,-9.155497836559783e-10,-1.2792345755960825e-08,-2.7972114350473246e-08,7.363501232352548e-08,-3.771895122781454e-09,6.891113072167483e-10,7.191245561080948e-09,8.980583170435771e-10,-5.045770049666751e-10,-3.771895124006535e-09,3.4074259788043804e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776755610874471188,6,1776755610874471188,camera_init,body,0.12595272344934672,-0.14150918212020203,-0.17453739973741045,0.0006117943672206856,0.0006984369089477128,0.006967255689616892,0.9999752973157328,1.258594250852865e-09,2.2346298106498807e-10,-1.596721093539732e-10,1.9270444841688026e-10,1.2035813942792827e-09,1.1800077392667224e-09,2.23462981054568e-10,2.3280867768668426e-09,2.9869767229803913e-10,1.0788190949485928e-09,-1.6908025300022296e-09,9.019363208205555e-09,-1.596721094037943e-10,2.9869767194839744e-10,8.269920819294876e-09,1.1528789389290202e-08,-3.390472341425369e-08,1.3989786581940702e-09,1.9270444824666634e-10,1.0788190941999216e-09,1.1528789390464301e-08,1.0582711429926553e-07,-6.015896239109164e-08,5.268726457406166e-09,1.2035813945579565e-09,-1.6908025284716691e-09,-3.390472341546621e-08,-6.015896238828746e-08,1.585343161906756e-07,-7.335812365713344e-09,1.1800077391774018e-09,9.019363207692127e-09,1.3989786598352797e-09,5.268726460931502e-09,-7.335812373316138e-09,4.1861596249118e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776755610974471092,7,1776755610974471092,camera_init,body,0.16418520460115427,-0.14901650028561716,-0.19531865549169095,0.000755940100468228,-0.0006304696058332066,0.0045475330185608485,0.999989175444455,2.203891714144899e-09,1.5421425591594196e-10,-5.537370851656904e-10,9.225104845832564e-10,2.0863814598743987e-09,1.3521403670931633e-09,1.5421425591022296e-10,4.191994185065125e-09,-2.4485981735251797e-10,-5.3013162041687e-10,5.576076429909039e-11,1.5729510291061e-08,-5.537370851879275e-10,-2.448598175874702e-10,1.4538133471909769e-08,2.480832957761154e-09,-3.495317446405285e-08,-1.5133227755934636e-09,9.225104845461127e-10,-5.301316206926851e-10,2.4808329581306557e-09,1.2288489252568713e-07,-1.516467914446048e-08,-2.473905702475782e-10,2.0863814599597373e-09,5.576076519518838e-11,-3.495317446420319e-08,-1.516467914324197e-08,1.3160496064861054e-07,1.4706220103403456e-09,1.3521403670733002e-09,1.5729510291028333e-08,-1.5133227744652972e-09,-2.473905687676297e-10,1.4706220060494157e-09,7.284155561842208e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776755611074471235,8,1776755611074471235,camera_init,body,0.21292309104929646,-0.14944446481873724,-0.21071809032947153,0.00043240085647638276,-0.0015684037068801162,0.003518390398504164,0.9999924870059339,4.891957645278267e-09,-4.010184978115184e-10,-7.367359430786055e-10,9.669716131998187e-10,4.560191763827988e-09,-2.5584791894252562e-09,-4.0101849785005943e-10,1.0643846188306829e-08,-3.711658380629242e-10,-2.9861911580606914e-09,1.3517699344720197e-10,4.5923482640619616e-08,-7.367359430645468e-10,-3.711658382578093e-10,8.816855578882296e-09,3.6319317910760302e-09,-1.6367475402901802e-08,-2.6653874012333735e-09,9.669716131951873e-10,-2.9861911582699085e-09,3.6319317911129903e-09,8.593279854842595e-08,2.1327592189712543e-09,-6.744412332657345e-09,4.560191763756837e-09,1.3517699470148406e-10,-1.6367475402981562e-08,2.132759219241769e-09,1.1700578750790978e-07,2.609814143901837e-10,-2.5584791896779996e-09,4.5923482641006346e-08,-2.665387400238543e-09,-6.7444123314317e-09,2.6098140761249406e-10,2.3236438088612315e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776755611174471140,9,1776755611174471140,camera_init,body,0.27540620441524954,-0.14917990163575245,-0.22040197087119195,0.0008352966780767397,-0.0004351135147791237,0.004190181182562818,0.9999907776261457,6.6818051848059005e-09,-1.1649405559053272e-10,-6.256755121912286e-10,1.6169305369258333e-09,3.790952684544574e-09,2.9966103430376962e-09,-1.1649405562452612e-10,1.2479288224003502e-08,1.5236692784558648e-09,3.4067560076078252e-09,-3.78214740954451e-09,5.0275049970665067e-08,-6.256755122382257e-10,1.5236692778823391e-09,2.4594210257453662e-08,2.468045017192508e-08,-6.499453335316867e-08,7.0867214648275266e-09,1.6169305367951529e-09,3.406756006520976e-09,2.4680450172634107e-08,2.2686347929997023e-07,-8.133594593617716e-08,3.374698452178576e-08,3.7909526847167335e-09,-3.782147407300874e-09,-6.499453335284237e-08,-8.133594593306452e-08,2.5201662414623954e-07,-1.574659182932274e-08,2.9966103429154166e-09,5.027504997104271e-08,7.0867214677905835e-09,3.3746984527480384e-08,-1.5746591840718122e-08,2.529365302884254e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
