timestamp,mode,feats_down_size,effective_correspondence_count,residual_mean,residual_std,residual_max,signed_dist_abs_mean,signed_dist_abs_std,signed_dist_abs_max,tangent_lp_mean,tangent_lp_max,planarity_mean,acceptance_ratio,match_time,solve_time,kdtree_search_time,kdtree_incremental_time
0.300000,center_gaussian,2330,372,0.141858,0.079034,0.306172,0.060767,0.016436,0.118946,0.334629,1.159694,0.962651,0.159657,0.002776,0.000020,0.005552,0.002161
0.400000,center_gaussian,2310,392,0.113578,0.083511,0.303302,0.065110,0.014706,0.119160,0.411961,1.094634,0.981041,0.169697,0.003052,0.000025,0.005843,0.002699
0.500000,center_gaussian,2321,999,0.121366,0.067863,0.303358,0.061434,0.012797,0.131509,0.305505,1.132382,0.993813,0.430418,0.003298,0.000073,0.005824,0.003407
0.600000,center_gaussian,2270,580,0.132519,0.075414,0.304354,0.062892,0.013917,0.135626,0.343014,1.198666,0.982517,0.255507,0.003003,0.000039,0.005712,0.002103
0.700000,center_gaussian,2247,725,0.120110,0.072661,0.291963,0.063092,0.010916,0.114540,0.329661,1.062500,0.988867,0.322652,0.003016,0.000048,0.005609,0.001215
0.800000,center_gaussian,2226,592,0.108025,0.067281,0.302219,0.062720,0.010838,0.111086,0.314767,1.106915,0.982368,0.265948,0.003068,0.000052,0.005864,0.000929
0.900000,center_gaussian,2194,288,0.102665,0.066410,0.272509,0.065377,0.012688,0.125913,0.351070,1.172497,0.981181,0.131267,0.003276,0.000021,0.005999,0.000950
1.000000,center_gaussian,2192,159,0.110714,0.079471,0.288656,0.070486,0.016112,0.129243,0.417571,1.132231,0.957816,0.072536,0.003799,0.000013,0.006873,0.000797
1.100000,center_gaussian,2158,117,0.109389,0.068013,0.268196,0.071907,0.016812,0.115389,0.427735,1.149239,0.951181,0.054217,0.002983,0.000010,0.005690,0.001585
1.200000,center_gaussian,2093,528,0.095018,0.063333,0.260818,0.065990,0.013501,0.110851,0.398511,1.095119,0.910196,0.252269,0.003064,0.000041,0.006045,0.002060
1.300000,center_gaussian,2054,887,0.112049,0.067048,0.286506,0.065098,0.012700,0.115146,0.414653,1.150940,0.902385,0.431840,0.003603,0.000075,0.006626,0.001540
