%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
1776753649761470556,0,1776753649761470556,camera_init,body,0.03879901243790604,-0.02088323613797691,-8.211270805241333e-06,2.752773618594006e-06,-1.5655757686141644e-06,0.006983455326688505,0.9999756153735304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776753649861470699,1,1776753649861470699,camera_init,body,-0.04074778888892499,-0.0491833086327342,-2.7865153563438263e-05,-9.151855728930725e-07,-4.206839628657025e-06,0.013960088577913279,0.9999025532062416,4.294868904963778e-10,2.463756802469997e-11,-1.2622184130397861e-11,-3.812454258539377e-12,3.007771809393489e-10,2.823327602498619e-10,2.4637639220419974e-11,7.388192280188832e-10,-1.34320692425011e-12,-8.309783416926564e-11,-7.368117184089473e-12,3.157896513639617e-09,-1.2622385913127655e-11,-1.3421557409810535e-12,1.9093806535863678e-09,-2.151997265940811e-09,-8.022930110917194e-09,-2.0142169954574776e-11,-3.943927866581487e-12,-8.456702005332772e-11,-2.152060607533016e-09,2.502871461196321e-07,-6.1144256741225514e-09,1.352444988833692e-09,3.0078692314639e-10,-7.273640023619521e-12,-8.02292975058816e-09,-6.114403132319534e-09,4.1144361473399726e-08,2.354760999558778e-11,2.8233169784351095e-10,3.1578843665357516e-09,-2.0142313660927738e-11,1.352152031731319e-09,2.356871213590894e-11,1.5947318798836818e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776753649961470604,2,1776753649961470604,camera_init,body,-0.12970537163456525,-0.07842910503569742,3.559872209362687e-05,8.19605007775786e-06,6.590608212888998e-06,0.018232238912002995,0.9998337788620885,4.343014708713816e-10,2.9960921669053847e-11,-5.8466617812140205e-12,1.6656867618927744e-10,2.5917607665156403e-10,3.163767341053452e-10,2.996092166721977e-11,7.64852959260617e-10,-4.289165295184755e-13,-1.651383252618953e-10,-1.0823039416460543e-11,3.193896126985941e-09,-5.846661779462e-12,-4.2891653071524224e-13,2.0755220888582938e-09,-4.854793450217716e-09,-8.423097503832434e-09,-9.969074700272047e-12,1.6656867500798246e-10,-1.6513832507163053e-10,-4.854793439586205e-09,5.222166357260472e-07,-1.124835663080712e-08,-2.2492922637824878e-10,2.591760767709957e-10,-1.0823039460865253e-11,-8.423097504089634e-09,-1.124835707873308e-08,4.262337918725656e-08,6.948585737235914e-11,3.1637673421348124e-10,3.1938961255503604e-09,-9.969074705180947e-12,-2.2492922417935735e-10,6.948585759150534e-11,1.5821945408348026e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776753650061470747,3,1776753650061470747,camera_init,body,-0.19365310734233307,-0.10920006573390745,-3.7678709742922515e-05,-1.1045370413749127e-05,-1.1412673544009307e-05,0.019921624259327725,0.9998015446250423,4.674443858924309e-10,4.9566984733053075e-11,2.523655454388116e-10,6.520501721888983e-10,-2.1254383334848138e-10,3.7017247702464484e-10,4.956698438717939e-11,7.547749661873052e-10,2.5620474286300417e-10,8.187615050030901e-10,-5.305712359487588e-10,3.0407317833167674e-09,2.523655321592375e-10,2.562046417998232e-10,5.209541584227928e-08,-1.853146792808693e-07,-8.012487878712762e-08,8.096022897492307e-10,6.520503533037595e-10,8.187629247170247e-10,-1.8531467714033974e-07,2.460808489480116e-06,1.4418258458261027e-07,2.567317950498277e-09,-2.125438235516983e-10,-5.30571165696488e-10,-8.012487900162508e-08,1.4418258907594755e-07,1.608535706295451e-07,-1.5993354877156447e-09,3.7017247519651794e-10,3.0407317822419806e-09,8.096027855845713e-10,2.567310843767652e-09,-1.5993358172958498e-09,1.474500399302535e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776753650161470652,4,1776753650161470652,camera_init,body,-0.2557023962943413,-0.14258310511925704,-5.2983220763053174e-05,-1.0308724203630906e-05,-9.699538107633217e-06,0.022894424042821618,0.9997378882224066,4.75790688484357e-10,5.4737853067479215e-11,7.710448361791434e-11,1.0285602072214432e-09,8.302958984077715e-11,3.658826101799085e-10,5.473785312741561e-11,7.554920653307716e-10,-1.0212023150247127e-10,1.3079549733419108e-09,3.233334054383281e-11,2.9515983747723586e-09,7.710448463992724e-11,-1.021202210106303e-10,5.430827871199579e-08,-1.1531545320768867e-07,-8.252261002841575e-08,-2.1962924255760474e-10,1.0285601677781132e-09,1.3079546167512044e-09,-1.1531545298173784e-07,2.2537775682278776e-06,3.1071339459271124e-08,3.373829674989197e-09,8.302959141255266e-11,3.2333351641423566e-11,-8.252261004905151e-08,3.107133992177282e-08,1.6731302382145106e-07,6.170875914893004e-11,3.6588261060892655e-10,2.9515983755755435e-09,-2.1962928622998698e-10,3.373830591644186e-09,6.170876514630878e-11,1.4029404393634034e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776753650261470556,5,1776753650261470556,camera_init,body,-0.32576633388051757,-0.16141720805137208,-3.6194986042115484e-05,-5.364148455240889e-06,-7.172443096556822e-06,0.023000657853392364,0.9997354498356522,4.826922829265137e-10,4.986152496418555e-11,-1.2780731558564822e-10,7.911694799483674e-10,3.8040340179842993e-10,3.2154050282904585e-10,4.986152499423046e-11,7.748037061385774e-10,1.695438491822141e-10,9.136568205353747e-10,-4.1119677849911357e-10,2.943754394219127e-09,-1.278073152217962e-10,1.695438516783944e-10,9.551888043025892e-08,-8.619657635715631e-08,-1.5115823382370776e-07,3.3280322244680356e-10,7.911694739918928e-10,9.136567557546125e-10,-8.619657648443851e-08,1.1960061437521102e-06,1.851514933317811e-08,2.6886840133223487e-09,3.804034018817568e-10,-4.1119677528558306e-10,-1.5115823380816963e-07,1.8515149092554806e-08,2.897700609540166e-07,-9.009640012159001e-10,3.215405029629794e-10,2.943754394436507e-09,3.328032060705896e-10,2.6886841886560157e-09,-9.00963991276251e-10,1.3714887620235297e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776753650361470699,6,1776753650361470699,camera_init,body,-0.3811485426584504,-0.1706934094713814,-4.2203849085264455e-05,-5.343256366846363e-06,-8.358704074861195e-06,0.023309914429225753,0.9997282869814603,5.035287781076769e-10,5.437264556516586e-11,7.019118319019339e-11,-3.3129208700177014e-10,1.621577944850999e-10,3.3138963128402113e-10,5.437264556767652e-11,8.298737079470708e-10,-1.182852240624593e-10,5.923750107024929e-10,9.803494300572702e-11,3.0334987819346984e-09,7.019118323639993e-11,-1.182852237354882e-10,1.721319555875677e-07,-1.0404634054467922e-07,-2.4411081271877004e-07,-1.2751953246351578e-10,-3.3129208527167226e-10,5.923750210246482e-10,-1.0404634048516082e-07,1.988560592743072e-06,-9.78096053498417e-10,1.8969688362306386e-09,1.6215779430552892e-10,9.803494142930606e-11,-2.4411081272441303e-07,-9.780959424498698e-10,4.3965004843455486e-07,1.3429772430329466e-11,3.3138963129881525e-10,3.033498781948472e-09,-1.2751953402489725e-10,1.8969687876253834e-09,1.3429779834184901e-11,1.3705771333417202e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776753650461470604,7,1776753650461470604,camera_init,body,-0.43463471345084653,-0.1593156110464167,-1.8906784700861515e-05,-5.196246620388167e-06,-3.347047717950646e-06,0.023090549702920828,0.9997333776943805,4.985969359822331e-10,5.0451480061774894e-11,-9.885549259631836e-11,5.817285975454319e-11,3.9285396917535474e-10,2.996515017207635e-10,5.045148006399008e-11,8.566706901895634e-10,-2.986545492610779e-10,1.0222354795471204e-09,2.769761640287727e-10,3.068211976185951e-09,-9.885549267828339e-11,-2.9865455051333485e-10,3.634565527986148e-07,-1.970336785041695e-07,-4.898477865397653e-07,-5.660225408998585e-10,5.8172860842543774e-11,1.0222354912457042e-09,-1.970336783900282e-07,1.0509274070036884e-06,2.0528064591165588e-07,3.0708039289547826e-09,3.9285396921029485e-10,2.7697616471124964e-10,-4.898477865542578e-07,2.0528064610873276e-07,8.165132088702704e-07,3.9246998691463673e-10,2.9965150171113844e-10,3.068211975998916e-09,-5.660225353610365e-10,3.0708038763608728e-09,3.9246998406043245e-10,1.3613073903848375e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776753650561470747,8,1776753650561470747,camera_init,body,-0.5020407034797423,-0.14982613997979638,-4.5818881451902646e-05,-1.911242296148092e-06,-9.147997434684445e-06,0.024004827792858886,0.9997118425602943,4.973849915919024e-10,4.325083062862878e-11,-5.6542056417903204e-11,-5.205638685240308e-10,4.3834405382428263e-10,2.551927657574522e-10,4.325083064044789e-11,8.610597288487157e-10,4.404560735700285e-11,2.7105778393276253e-11,-1.2838622317151296e-10,3.0208484365399817e-09,-5.654205632359461e-11,4.4045608503440283e-11,2.029736065898083e-08,5.5125991796944985e-08,-4.999913535039549e-08,1.698893775213033e-10,-5.205638669119352e-10,2.710580359187116e-11,5.512599181641388e-08,1.3856885480812915e-06,-2.3669886959225372e-07,3.214616982450238e-10,4.3834405345868203e-10,-1.2838622797998003e-10,-4.999913535130817e-08,-2.3669886953390014e-07,1.807790537330623e-07,-4.5344855625643947e-10,2.5519276580323253e-10,3.0208484366076893e-09,1.6988937252530962e-10,3.2146158815918244e-10,-4.534485353248382e-10,1.3155079147502248e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776753650661470652,9,1776753650661470652,camera_init,body,-0.5622374544463054,-0.13813797514415063,-8.218119337194016e-05,-4.430283373294756e-06,-1.7006357663996235e-05,0.02429029057368639,0.9997049472094269,5.008728297975452e-10,3.481907298527075e-11,-1.7423122407581747e-10,-4.1490701711637945e-10,1.113009633624635e-10,2.5082617392457636e-10,3.481907299059244e-11,9.153644084101725e-10,9.502943302386228e-11,1.7587254295357191e-10,9.439887782412537e-11,3.1558523714425906e-09,-1.74231224047946e-10,9.502943309834656e-11,6.693787252431456e-08,2.2666007714447454e-08,-1.638798034111346e-07,2.099381192577532e-10,-4.1490701503687386e-10,1.758725697631176e-10,2.266600779518956e-08,1.751188700315867e-06,-1.5418587510261195e-10,9.999287414107305e-10,1.1130096336108707e-10,9.439887964557707e-11,-1.6387980340484054e-07,-1.541853792365015e-10,1.0296087124689087e-06,4.9253482288415124e-11,2.5082617393347517e-10,3.1558523714346054e-09,2.0993811883622804e-10,9.999286264086822e-10,4.92534756009133e-11,1.3507425241629326e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
