timestamp,mode,feats_down_size,effective_correspondence_count,residual_mean,residual_std,residual_max,signed_dist_abs_mean,signed_dist_abs_std,signed_dist_abs_max,tangent_lp_mean,tangent_lp_max,planarity_mean,acceptance_ratio,match_time,solve_time,kdtree_search_time,kdtree_incremental_time
0.300000,surface_lp,2330,1691,0.003826,0.021980,0.266199,0.000297,0.001698,0.017472,0.358772,2.159521,0.995028,0.725751,0.003162,0.000138,0.005573,0.002026
0.400000,surface_lp,2310,1671,0.003006,0.026153,0.247064,0.000220,0.001950,0.018423,0.411507,3.674764,0.998053,0.723377,0.003300,0.000157,0.005917,0.001725
0.500000,surface_lp,2321,1277,0.010189,0.037882,0.247193,0.000555,0.002050,0.014641,0.373696,3.183094,0.999213,0.550194,0.003447,0.000100,0.005876,0.002028
0.600000,surface_lp,2270,1256,0.008049,0.030537,0.262140,0.000463,0.001830,0.017652,0.379536,3.215685,0.998537,0.553304,0.003156,0.000092,0.005674,0.001744
0.700000,surface_lp,2247,1228,0.006491,0.027706,0.279761,0.000370,0.001625,0.020502,0.392246,2.854745,0.998473,0.546506,0.003383,0.000100,0.006235,0.002063
0.800000,surface_lp,2226,1145,0.002274,0.012616,0.231868,0.000137,0.000905,0.018960,0.395243,2.915418,0.999105,0.514376,0.003589,0.000101,0.006480,0.002976
0.900000,surface_lp,2194,1131,0.001834,0.012537,0.229093,0.000113,0.000865,0.014666,0.403315,2.475055,0.999014,0.515497,0.003590,0.000100,0.006420,0.001775
1.000000,surface_lp,2192,1197,0.007595,0.035285,0.268084,0.000433,0.001985,0.022023,0.421289,3.323040,0.999289,0.546077,0.004063,0.000088,0.006863,0.001710
1.100000,surface_lp,2158,1107,0.001430,0.012452,0.202876,0.000094,0.000911,0.015685,0.383795,2.684732,0.998982,0.512975,0.003661,0.000091,0.006755,0.001985
1.200000,surface_lp,2093,1073,0.002200,0.013745,0.216512,0.000139,0.000962,0.011842,0.361051,2.398934,0.998454,0.512661,0.003246,0.000069,0.006394,0.002005
1.300000,surface_lp,2054,1059,0.002407,0.016809,0.253093,0.000147,0.001115,0.018856,0.368530,2.734879,0.998510,0.515579,0.004050,0.000092,0.007124,0.002282
1.400000,surface_lp,2035,1062,0.001220,0.012028,0.257273,0.000078,0.000848,0.020206,0.387901,2.345126,0.999169,0.521867,0.003196,0.000084,0.006143,0.001643
1.500000,surface_lp,1969,1028,0.004412,0.027283,0.235261,0.000256,0.001582,0.016232,0.375253,2.265327,0.996475,0.522092,0.003636,0.000104,0.006699,0.001816
1.600000,surface_lp,1937,979,0.001052,0.012644,0.253898,0.000061,0.000729,0.014437,0.378025,2.211136,0.999108,0.505421,0.003770,0.000077,0.006286,0.001821
1.700000,surface_lp,1872,944,0.001010,0.010500,0.207823,0.000061,0.000660,0.013636,0.358631,2.081385,0.999372,0.504274,0.003238,0.000055,0.005956,0.001543
1.800000,surface_lp,1837,930,0.001446,0.012057,0.215037,0.000091,0.000791,0.012998,0.374555,2.784931,0.998748,0.506260,0.002983,0.000071,0.005744,0.002768
1.900000,surface_lp,1776,896,0.001940,0.013511,0.216563,0.000122,0.000915,0.014217,0.356397,2.101106,0.998974,0.504505,0.002835,0.000069,0.005334,0.001659
2.000000,surface_lp,1709,908,0.006804,0.027845,0.240332,0.000493,0.002103,0.017512,0.378706,2.092364,0.992903,0.531305,0.002953,0.000070,0.005389,0.001415
2.100000,surface_lp,1728,855,0.005012,0.031582,0.239869,0.000363,0.002360,0.018039,0.378867,2.734695,0.995507,0.494792,0.002946,0.000070,0.005639,0.001401
2.200000,surface_lp,1649,830,0.002469,0.012005,0.198940,0.000156,0.000765,0.010648,0.384787,2.945699,0.995576,0.503335,0.002818,0.000064,0.005341,0.001279
2.300000,surface_lp,1631,879,0.015831,0.042896,0.203499,0.000918,0.002588,0.013820,0.368433,2.242357,0.990909,0.538933,0.003440,0.000068,0.005870,0.001312
2.400000,surface_lp,1594,896,0.017546,0.049609,0.267167,0.001075,0.003112,0.016547,0.370865,2.692359,0.985480,0.562108,0.002927,0.000100,0.005177,0.001450
2.500000,surface_lp,1529,869,0.005260,0.021234,0.212368,0.000352,0.001441,0.016565,0.427877,2.497966,0.991861,0.568345,0.002789,0.000071,0.005072,0.001025
2.600000,surface_lp,1500,775,0.004100,0.019414,0.248208,0.000275,0.001381,0.019216,0.409397,2.039488,0.993110,0.516667,0.002607,0.000061,0.004732,0.001296
2.700000,surface_lp,1478,780,0.013068,0.037768,0.255012,0.000881,0.002753,0.026202,0.435651,2.792137,0.989603,0.527740,0.002764,0.000057,0.004950,0.001215
2.800000,surface_lp,1422,708,0.006589,0.031593,0.207111,0.000385,0.001824,0.015208,0.406544,2.431042,0.996799,0.497890,0.002712,0.000052,0.005046,0.001416
2.900000,surface_lp,1368,684,0.001923,0.012574,0.183630,0.000126,0.000878,0.010664,0.415840,2.282536,0.998099,0.500000,0.002686,0.000056,0.005029,0.000747
3.000000,surface_lp,1282,680,0.001429,0.010741,0.167755,0.000097,0.000842,0.016107,0.383509,1.698253,0.998780,0.530421,0.002857,0.000063,0.005169,0.001417
3.100000,surface_lp,1236,658,0.001044,0.009399,0.224688,0.000065,0.000696,0.017043,0.384141,2.967606,0.999350,0.532362,0.002389,0.000057,0.004413,0.000830
3.200000,surface_lp,1192,656,0.005089,0.026381,0.176298,0.000362,0.001949,0.013299,0.401126,1.655211,0.992239,0.550336,0.002833,0.000060,0.004798,0.001022
3.300000,surface_lp,1104,580,0.003953,0.013310,0.245289,0.000237,0.001132,0.024304,0.398240,1.567427,0.998872,0.525362,0.002266,0.000048,0.003865,0.001315
3.400000,surface_lp,1028,523,0.002689,0.014181,0.191949,0.000170,0.000992,0.013586,0.408104,2.221073,0.997137,0.508755,0.001902,0.000050,0.003308,0.000655
3.500000,surface_lp,953,488,0.002617,0.017824,0.220668,0.000177,0.001312,0.016764,0.409488,1.770908,0.998120,0.512067,0.001797,0.000046,0.003260,0.000980
3.600000,surface_lp,884,476,0.000752,0.002113,0.031516,0.000049,0.000153,0.001981,0.428421,2.580633,0.994474,0.538462,0.001891,0.000037,0.003290,0.000773
3.700000,surface_lp,817,450,0.001961,0.014419,0.201848,0.000132,0.001031,0.013227,0.428006,2.864198,0.997872,0.550796,0.001626,0.000029,0.003309,0.000643
3.800000,surface_lp,762,422,0.001870,0.012203,0.165602,0.000131,0.001006,0.014788,0.443931,1.783445,0.999091,0.553806,0.001774,0.000041,0.003406,0.000588
3.900000,surface_lp,756,399,0.000705,0.005351,0.106348,0.000042,0.000334,0.006622,0.480189,2.473088,0.999437,0.527778,0.001668,0.000034,0.002854,0.000671
4.000000,surface_lp,705,384,0.001039,0.006410,0.080009,0.000066,0.000464,0.006756,0.440251,2.476521,0.998677,0.544681,0.001345,0.000028,0.002568,0.000905
4.100000,surface_lp,692,362,0.001288,0.009137,0.151444,0.000085,0.000728,0.012727,0.452417,3.038453,0.998535,0.523121,0.001429,0.000034,0.002467,0.000768
4.200000,surface_lp,662,357,0.002343,0.013243,0.174295,0.000144,0.000906,0.011898,0.492351,3.004426,0.997968,0.539275,0.001125,0.000026,0.002273,0.000343
4.300000,surface_lp,649,325,0.002116,0.012101,0.191804,0.000136,0.000902,0.014514,0.478401,3.240405,0.997737,0.500770,0.001554,0.000032,0.002898,0.001319
4.400000,surface_lp,634,325,0.000750,0.004531,0.076807,0.000050,0.000369,0.006359,0.502454,2.680671,0.998804,0.512618,0.001345,0.000029,0.002401,0.000354
4.500000,surface_lp,600,330,0.001959,0.010453,0.129289,0.000131,0.000817,0.010643,0.505046,2.613677,0.998903,0.550000,0.001349,0.000032,0.002496,0.000413
4.600000,surface_lp,570,314,0.002015,0.011561,0.158705,0.000128,0.000769,0.010625,0.498395,2.340610,0.996419,0.550877,0.001140,0.000030,0.002010,0.000529
4.700000,surface_lp,548,301,0.001379,0.008724,0.105345,0.000089,0.000591,0.007041,0.470435,2.355972,0.997986,0.549270,0.001215,0.000022,0.002109,0.000281
4.800000,surface_lp,544,296,0.001139,0.009100,0.150944,0.000085,0.000833,0.014048,0.533686,2.358859,0.998618,0.544118,0.001034,0.000029,0.001826,0.000441
4.900000,surface_lp,513,275,0.001497,0.006715,0.088517,0.000095,0.000493,0.006822,0.494662,4.107810,0.996564,0.536062,0.001028,0.000025,0.001871,0.000460
5.000000,surface_lp,497,254,0.000730,0.005179,0.079312,0.000051,0.000437,0.006750,0.479554,2.674572,0.998270,0.511066,0.001063,0.000029,0.001866,0.000241
5.100000,surface_lp,453,241,0.001334,0.008736,0.091585,0.000094,0.000668,0.007407,0.441681,1.875641,0.998025,0.532009,0.000891,0.000026,0.001603,0.000277
5.200000,surface_lp,452,226,0.004461,0.020142,0.180111,0.000309,0.001500,0.015892,0.460622,1.637885,0.994005,0.500000,0.000908,0.000025,0.001613,0.000387
5.300000,surface_lp,399,214,0.003964,0.016486,0.153433,0.000250,0.001042,0.009390,0.479515,2.296592,0.994860,0.536341,0.000916,0.000023,0.001680,0.000282
5.400000,surface_lp,396,204,0.002032,0.010402,0.100862,0.000146,0.000864,0.009732,0.458969,1.570552,0.995923,0.515152,0.000757,0.000019,0.001335,0.000393
5.500000,surface_lp,374,193,0.002730,0.013891,0.163802,0.000177,0.001014,0.011598,0.488073,2.640118,0.997523,0.516043,0.000833,0.000018,0.001341,0.000560
