%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
361599265415,0,361599265415,camera_init,body,-0.012666547268163969,-0.009333029246945972,0.029792199012346064,-0.0014149107119221778,0.002738032123651611,0.0005277232602252276,0.9999951113460149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361699507625,1,361699507625,camera_init,body,-0.026054215531968992,-0.0027061520057781903,0.039589037321733946,-0.0007635696167207863,0.0029183830771552185,-0.00048117160775289745,0.9999953342268858,2.923124237552699e-06,5.156941618029782e-08,8.445692304182857e-07,-6.889982606886477e-07,3.84450140730741e-06,-2.863608382984808e-07,5.1569416553456917e-08,1.627781065494105e-06,-5.362336478677338e-07,-5.579136011041319e-06,4.100645579971986e-06,1.0024487052299504e-05,8.445692313411076e-07,-5.362336470358495e-07,3.152422957564127e-06,2.553018656594472e-06,-1.7648161430274412e-05,-3.597938125721314e-06,-6.889982632290553e-07,-5.579136025946063e-06,2.553018665546838e-06,2.8890601890152467e-05,-2.1560348055983388e-05,-3.368393562575554e-05,3.844501421906843e-06,4.100645581497702e-06,-1.7648161447671087e-05,-2.156034805802834e-05,0.0001348147139403899,2.5602115941881025e-05,-2.863608365099809e-07,1.0024487058503742e-05,-3.5979381280652975e-06,-3.368393562378207e-05,2.560211594098222e-05,7.750988515442536e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361799224894,2,361799224894,camera_init,body,-0.02391325382868122,-0.012012201542730206,0.03516395764260136,-0.001401064019578331,0.002186577526297745,0.0003186100514237808,0.9999965771871276,2.8312755540344043e-06,-5.2087541186837494e-08,9.679244482951745e-07,-1.2353719751525406e-07,2.7269348373056067e-06,-5.524738500556025e-07,-5.208754118693065e-08,1.8401716631339396e-06,-4.4430202231094956e-07,-6.140114263941665e-06,3.1713179604338032e-06,1.1038343001026228e-05,9.679244482975917e-07,-4.4430202230876464e-07,3.1980877444416823e-06,2.2305523642077648e-06,-1.7249239052537375e-05,-3.0741144260644943e-06,-1.2353719751421232e-07,-6.140114263942084e-06,2.230552364215291e-06,3.071281572980186e-05,-1.754929333243295e-05,-3.640862618765401e-05,2.726934837287095e-06,3.171317960419477e-06,-1.7249239052539547e-05,-1.7549293332385113e-05,0.00012667290578239308,2.078633266063473e-05,-5.524738500565107e-07,1.1038343001026069e-05,-3.074114426077675e-06,-3.6408626187661464e-05,2.0786332660723567e-05,8.277924714617489e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361898023217,3,361898023217,camera_init,body,-0.02266835765503476,-0.006507126589114439,0.0285773860675035,-0.001153687048539641,0.002002021454657117,-0.00040480441194967325,0.9999972485210532,3.054095552380883e-06,-5.076703109319612e-08,1.0190546606907227e-06,-7.414332798272265e-08,2.783612910839701e-06,-4.817137570639009e-07,-5.076703109357589e-08,1.5920618427737145e-06,-3.4802662772230705e-07,-5.0065679714167195e-06,2.4502495139186155e-06,9.10957158217457e-06,1.0190546606904532e-06,-3.4802662772769344e-07,3.016275105310297e-06,1.6997793861635737e-06,-1.6059382227392176e-05,-2.299057312401493e-06,-7.414332797727932e-08,-5.006567971399012e-06,1.6997793861098311e-06,2.514435925535809e-05,-1.3507069162200697e-05,-2.8954287865336556e-05,2.7836129108408064e-06,2.450249513954603e-06,-1.6059382227385244e-05,-1.3507069162582079e-05,0.00011984734014821268,1.539393296474755e-05,-4.817137570632328e-07,9.109571582193787e-06,-2.2990573123935416e-06,-2.8954287865542365e-05,1.5393932964715296e-05,6.710313306794674e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361996496537,4,361996496537,camera_init,body,-0.024200643185663277,-0.01844574809761943,0.03620901303542019,-0.0005520360876291125,0.002842255689313071,0.0010492646316841551,0.9999952579299994,2.766002489618436e-06,-1.0417301325120613e-07,1.0269639187280454e-06,-7.350297971530017e-08,1.808368262158067e-06,-9.529914962082375e-07,-1.0417301325129499e-07,1.426506520389335e-06,-3.373548949605879e-07,-4.5265376936765905e-06,2.3081038944499176e-06,8.00196433825304e-06,1.0269639187266376e-06,-3.373548949660259e-07,2.6883395873916323e-06,1.5460175080164749e-06,-1.3717320868808885e-05,-2.172036733800466e-06,-7.350297971209661e-08,-4.526537693666465e-06,1.5460175079693978e-06,2.2903456485284198e-05,-1.2484950093599624e-05,-2.6267509894591587e-05,1.8083682621684693e-06,2.3081038944864556e-06,-1.3717320868801402e-05,-1.2484950093931756e-05,0.00010057162948399586,1.3526310348162722e-05,-9.529914962065244e-07,8.00196433826239e-06,-2.172036733785473e-06,-2.626750989469405e-05,1.352631034807565e-05,5.821807906377131e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
362095147034,5,362095147034,camera_init,body,-0.026698330603430725,-0.03164654257879296,0.041667494370286294,-0.000950399997721921,0.0026556561822467257,0.001485947125228685,0.9999949180827006,2.9708891120746347e-06,-1.4966079599223806e-07,1.0804426978284366e-06,5.001761819665652e-08,1.944113659841254e-06,-8.072102545507793e-07,-1.4966079599273186e-07,1.231872092919976e-06,-3.1641937243053835e-07,-3.7042806140089566e-06,1.9155364182233925e-06,6.7576624638519004e-06,1.080442697827999e-06,-3.1641937243406576e-07,2.526438098327292e-06,1.502910592782112e-06,-1.2519171001865359e-05,-1.881337759741857e-06,5.001761820160989e-08,-3.704280614006833e-06,1.502910592751274e-06,1.8708342462381354e-05,-1.1083107670108356e-05,-2.1791918071207498e-05,1.944113659844703e-06,1.915536418249227e-06,-1.2519171001861285e-05,-1.1083107670334402e-05,9.255188206054875e-05,1.1554324824885737e-05,-8.07210254551633e-07,6.757662463855962e-06,-1.8813377597331544e-06,-2.179191807123999e-05,1.155432482482325e-05,5.0762730245627584e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
362199159715,6,362199159715,camera_init,body,-0.02510185424637303,-0.025702660271206393,0.04320323897857368,0.00012896700531135136,0.002220190559664252,0.0013111235408995977,0.9999966675326726,2.9494575883913608e-06,-1.7608440694659873e-07,1.2340741927992655e-06,2.9683423591084783e-07,9.529593367459143e-07,-1.273587072534704e-06,-1.7608440694686525e-07,1.1863054080392974e-06,-3.3060565752928753e-07,-3.3571955825079403e-06,1.8288337353134588e-06,6.189401866133359e-06,1.2340741927988704e-06,-3.3060565753170544e-07,2.380500235431685e-06,1.5605509587976644e-06,-1.0841236524120626e-05,-2.014565816298667e-06,2.9683423591326097e-07,-3.3571955825091715e-06,1.560550958778623e-06,1.7042487962942202e-05,-1.0477150747373394e-05,-1.9286912024993302e-05,9.529593367484306e-07,1.8288337353311868e-06,-1.0841236524121412e-05,-1.0477150747513257e-05,7.75884700661073e-05,1.0536268026511662e-05,-1.2735870725354649e-06,6.189401866134206e-06,-2.014565816290488e-06,-1.928691202499509e-05,1.0536268026452202e-05,4.513078065788749e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
362299315485,7,362299315485,camera_init,body,-0.021260988927404738,-0.02630231034069177,0.04107086591233863,-0.0019616985441493723,0.0022689335698121223,0.0006977474557326429,0.9999952584026417,3.1954488880290077e-06,-1.428444897770446e-07,1.426196934843867e-06,2.061268763076479e-07,7.465308901264046e-07,-8.249260952493352e-07,-1.4284448977725268e-07,1.0352229916468485e-06,-2.5203800572919424e-07,-3.0724040028524433e-06,1.393361276452088e-06,5.50844665052594e-06,1.4261969348436064e-06,-2.5203800573070307e-07,2.2402504024433064e-06,1.262485642293376e-06,-9.170677437610011e-06,-1.577290122079398e-06,2.0612687630916835e-07,-3.0724040028535732e-06,1.262485642283254e-06,1.6152855335479412e-05,-8.840560400259556e-06,-1.8013310584180317e-05,7.465308901274536e-07,1.3933612764631002e-06,-9.170677437609578e-06,-8.84056040033299e-06,6.492011064172161e-05,8.872719697392137e-06,-8.249260952501675e-07,5.508446650525234e-06,-1.5772901220722308e-06,-1.8013310584171993e-05,8.872719697339367e-06,4.2158638750249544e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
362399172883,8,362399172883,camera_init,body,-0.024832795031271344,-0.02817842721613131,0.043829527366619214,0.0021621468814322833,0.0024424255128208724,0.003028921070730734,0.9999900926087346,3.4842233027824294e-06,-2.3544193869976723e-07,1.3636384975111869e-06,2.7568834501416163e-07,1.1989957429357436e-06,-1.4741533056798821e-06,-2.3544193869996996e-07,1.12760011070316e-06,-2.941402498857624e-07,-3.188907100253701e-06,1.4922743506503038e-06,5.697750356453102e-06,1.363638497511211e-06,-2.941402498869072e-07,2.1757744054650996e-06,1.3302407458253939e-06,-9.206048569049615e-06,-1.6835028149822458e-06,2.756883450155443e-07,-3.1889071002547363e-06,1.3302407458197573e-06,1.6809246501780455e-05,-9.53309369545985e-06,-1.790618383373379e-05,1.1989957429353341e-06,1.4922743506585804e-06,-9.206048569049105e-06,-9.533093695499955e-06,6.671454345601296e-05,8.471878809339235e-06,-1.4741533056812122e-06,5.697750356453511e-06,-1.6835028149757384e-06,-1.790618383372688e-05,8.471878809290388e-06,4.087432813728075e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
362498574025,9,362498574025,camera_init,body,-0.023133879840946288,-0.028543590138795993,0.04485783340099942,-0.0016620503966580792,0.002775199420612116,0.0008347181791245265,0.9999944195355375,3.3673658620207364e-06,-8.807983622073395e-08,1.342106064063984e-06,8.89910978298518e-08,1.4995403573827729e-06,-7.310509953974351e-07,-8.807983622086026e-08,1.0627999304559178e-06,-2.1608715913801093e-07,-3.077658566072092e-06,1.2699092342692114e-06,5.490548416679839e-06,1.342106064063959e-06,-2.1608715913869862e-07,2.157855624467199e-06,1.2329142890757096e-06,-8.821614363832156e-06,-1.4560334659700252e-06,8.899109783017513e-08,-3.077658566071909e-06,1.2329142890737716e-06,1.6862114060298592e-05,-8.787845229827774e-06,-1.779700435434919e-05,1.4995403573826026e-06,1.269909234274206e-06,-8.821614363831363e-06,-8.787845229841378e-06,6.499315390965486e-05,8.144648712415176e-06,-7.310509953984859e-07,5.4905484166806414e-06,-1.4560334659651223e-06,-1.7797004354348878e-05,8.14464871237972e-06,4.0642939918791434e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
