timestamp,mode,feats_down_size,effective_correspondence_count,residual_mean,residual_std,residual_max,signed_dist_abs_mean,signed_dist_abs_std,signed_dist_abs_max,tangent_lp_mean,tangent_lp_max,planarity_mean,acceptance_ratio,match_time,solve_time,kdtree_search_time,kdtree_incremental_time
0.299509,surface_lp,350,214,0.130729,0.095741,0.356406,0.007904,0.005830,0.028605,1.057586,6.399046,0.996750,0.611429,0.000704,0.000017,0.000779,0.000204
0.399745,surface_lp,335,203,0.115374,0.086175,0.342974,0.006704,0.005133,0.022235,0.667282,2.138926,0.995444,0.605970,0.000691,0.000025,0.000996,0.000192
0.499587,surface_lp,331,191,0.125443,0.085268,0.349733,0.007568,0.005799,0.033201,0.629120,2.347961,0.992352,0.577039,0.000652,0.000015,0.000939,0.000135
0.599417,surface_lp,326,194,0.130706,0.081831,0.316540,0.008018,0.005968,0.036221,0.609946,1.767873,0.992134,0.595092,0.000696,0.000019,0.001039,0.000149
0.700050,surface_lp,334,196,0.117911,0.086557,0.348951,0.007292,0.006506,0.038818,0.587390,1.896737,0.991834,0.586826,0.000579,0.000020,0.000834,0.000132
0.799881,surface_lp,319,180,0.130611,0.094344,0.347194,0.007709,0.006018,0.033073,0.577631,1.788252,0.992110,0.564263,0.000540,0.000014,0.000797,0.000121
0.899707,surface_lp,349,200,0.125772,0.090737,0.347331,0.007936,0.007121,0.044563,0.574900,1.842110,0.988897,0.573066,0.000618,0.000019,0.000915,0.000140
0.999539,surface_lp,321,189,0.145447,0.091494,0.338112,0.009144,0.006730,0.037520,0.613236,2.225588,0.988855,0.588785,0.000524,0.000017,0.000774,0.000093
1.099395,surface_lp,325,178,0.123243,0.080095,0.329642,0.007823,0.006124,0.029169,0.538575,2.417834,0.987261,0.547692,0.000646,0.000017,0.000944,0.000061
1.200050,surface_lp,347,206,0.136941,0.091314,0.357088,0.008336,0.006661,0.044206,0.552656,2.200203,0.990723,0.593660,0.000599,0.000018,0.000936,0.000088
1.299877,surface_lp,346,190,0.135874,0.090362,0.358174,0.008186,0.006345,0.037181,0.560292,2.307762,0.992279,0.549133,0.000685,0.000014,0.001024,0.000071
1.399706,surface_lp,334,198,0.129491,0.082385,0.361795,0.007908,0.005939,0.031866,0.546357,1.472277,0.989722,0.592814,0.000666,0.000018,0.001095,0.000050
1.499542,surface_lp,349,209,0.129336,0.089509,0.358741,0.007679,0.006028,0.037204,0.580682,2.043168,0.991819,0.598854,0.000706,0.000019,0.001107,0.000063
1.599378,surface_lp,338,197,0.127865,0.084337,0.367689,0.008058,0.006506,0.040592,0.590201,2.263311,0.989851,0.582840,0.000703,0.000018,0.001004,0.000031
1.700006,surface_lp,335,193,0.121279,0.087549,0.349366,0.007651,0.006462,0.037570,0.609491,3.312042,0.987304,0.576119,0.000741,0.000017,0.001145,0.000034
1.799839,surface_lp,336,188,0.129891,0.090408,0.338172,0.007564,0.005340,0.021881,0.562079,2.003941,0.992627,0.559524,0.000683,0.000018,0.001128,0.000046
1.899679,surface_lp,342,199,0.126336,0.082552,0.330770,0.008312,0.007434,0.042279,0.583422,2.034178,0.985603,0.581871,0.000557,0.000015,0.000858,0.000052
1.999515,surface_lp,317,201,0.127822,0.084192,0.323552,0.008649,0.007765,0.050221,0.610756,1.971082,0.983187,0.634069,0.000634,0.000020,0.000998,0.000050
2.099738,surface_lp,345,208,0.128024,0.082871,0.338304,0.008224,0.006747,0.051898,0.558243,1.764429,0.985942,0.602899,0.000718,0.000021,0.001106,0.000055
2.199580,surface_lp,314,185,0.119364,0.084665,0.329678,0.007713,0.006692,0.046428,0.596853,2.185555,0.984606,0.589172,0.000602,0.000018,0.000975,0.000060
2.299423,surface_lp,326,186,0.137343,0.082774,0.325243,0.008612,0.006501,0.037503,0.552770,1.875195,0.987887,0.570552,0.000523,0.000017,0.000823,0.000031
2.400054,surface_lp,337,193,0.122325,0.087516,0.346488,0.007550,0.005946,0.031445,0.557133,1.920196,0.986674,0.572700,0.000625,0.000015,0.000908,0.000025
2.499905,surface_lp,330,194,0.133544,0.085753,0.351838,0.008708,0.006782,0.035595,0.584922,2.223728,0.985052,0.587879,0.000553,0.000018,0.000888,0.000045
2.599730,surface_lp,335,194,0.125223,0.080734,0.327417,0.007882,0.006345,0.044070,0.573529,1.955796,0.985405,0.579104,0.000690,0.000018,0.000983,0.000056
2.699579,surface_lp,347,205,0.134086,0.086775,0.351365,0.008423,0.006679,0.041884,0.515036,1.928786,0.987370,0.590778,0.000648,0.000021,0.001021,0.000047
2.799410,surface_lp,345,181,0.126739,0.082537,0.353351,0.007874,0.006195,0.032138,0.552794,2.146756,0.990279,0.524638,0.000750,0.000020,0.001105,0.000038
2.900033,surface_lp,340,203,0.134209,0.087539,0.356074,0.008058,0.006037,0.036165,0.543679,1.922256,0.990540,0.597059,0.000571,0.000015,0.000852,0.000039
2.999876,surface_lp,337,185,0.130606,0.087386,0.335983,0.008307,0.006848,0.048802,0.560738,1.699678,0.984770,0.548961,0.000652,0.000017,0.000923,0.000022
3.099717,surface_lp,333,175,0.118408,0.079830,0.350489,0.007581,0.005933,0.030795,0.587905,1.951224,0.983891,0.525526,0.000562,0.000017,0.000889,0.000033
3.199560,surface_lp,328,185,0.125814,0.082923,0.351180,0.007729,0.006452,0.053294,0.529699,1.784708,0.988566,0.564024,0.000647,0.000014,0.000853,0.000021
3.299394,surface_lp,345,194,0.131214,0.088206,0.336566,0.008606,0.007862,0.049479,0.566969,1.878091,0.986078,0.562319,0.000693,0.000019,0.001175,0.000109
3.400032,surface_lp,318,179,0.136875,0.092132,0.342883,0.008614,0.007100,0.051786,0.510004,1.755071,0.986078,0.562893,0.000591,0.000016,0.000888,0.000030
3.499873,surface_lp,341,185,0.131106,0.084669,0.356182,0.008171,0.005896,0.032062,0.546694,1.538637,0.986453,0.542522,0.000624,0.000017,0.001013,0.000017
3.599713,surface_lp,326,199,0.135576,0.094375,0.342975,0.008258,0.006546,0.047062,0.522231,1.784170,0.989489,0.610429,0.000568,0.000016,0.000845,0.000037
3.699547,surface_lp,340,199,0.132181,0.090173,0.348800,0.008685,0.007893,0.048169,0.569216,2.132765,0.986683,0.585294,0.000687,0.000019,0.001079,0.000024
3.799398,surface_lp,331,197,0.130487,0.089962,0.351848,0.008258,0.006501,0.030078,0.540316,1.878188,0.985469,0.595166,0.000728,0.000016,0.001036,0.000041
3.900033,surface_lp,348,199,0.140399,0.095910,0.357497,0.008804,0.007311,0.056720,0.535737,2.210918,0.986889,0.571839,0.000724,0.000015,0.000935,0.000055
3.999873,surface_lp,342,192,0.140284,0.087789,0.332843,0.009411,0.007932,0.049033,0.608565,1.811425,0.982542,0.561404,0.000710,0.000015,0.000927,0.000037
4.099734,surface_lp,340,192,0.126556,0.084388,0.327341,0.007795,0.006098,0.047235,0.577209,1.799732,0.987820,0.564706,0.000598,0.000015,0.000798,0.000017
4.199594,surface_lp,343,191,0.129914,0.089070,0.347572,0.008150,0.006724,0.044676,0.584017,1.776194,0.985807,0.556851,0.000756,0.000015,0.000958,0.000025
4.299442,surface_lp,326,178,0.129615,0.085500,0.345853,0.008377,0.006708,0.032986,0.566703,1.550795,0.984837,0.546012,0.000537,0.000014,0.000810,0.000017
4.399693,surface_lp,321,181,0.133269,0.080715,0.318327,0.008321,0.005899,0.032738,0.580223,2.049124,0.986968,0.563863,0.000555,0.000017,0.000859,0.000028
4.499546,surface_lp,343,207,0.126889,0.082447,0.339724,0.007836,0.005806,0.034005,0.568424,1.779364,0.986725,0.603499,0.000585,0.000019,0.000918,0.000007
4.599383,surface_lp,327,176,0.134473,0.088009,0.351004,0.008161,0.005842,0.032462,0.531736,1.932979,0.988659,0.538226,0.000556,0.000016,0.000921,0.000026
