%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
361599265415,0,361599265415,camera_init,body,-0.011838754065682086,-0.0021650855754562983,0.023208179107068717,-2.5352689355818573e-05,0.001682904765944063,0.00025768280327296574,0.9999985503931313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361699507625,1,361699507625,camera_init,body,-0.018575392863386594,0.004072600291488076,0.03412578016899761,-0.0005795924288713972,0.0021289876905684255,-0.0005269532228695052,0.9999974268988551,5.6785332178677095e-06,3.071479289970969e-08,1.0071810999410896e-06,-1.8132944366346172e-06,1.2644468609906978e-05,1.0690919269592896e-06,3.071479379991306e-08,4.667356966914227e-06,-1.1831548126367235e-06,-1.868903382809539e-05,9.482476682178418e-06,2.7257010091644683e-05,1.0071810965258494e-06,-1.1831548120532105e-06,5.680047705958202e-06,5.654418997245981e-06,-3.401929535205243e-05,-7.0408944234926e-06,-1.8132944484330001e-06,-1.8689033827568036e-05,5.654419013547231e-06,9.105994610636436e-05,-5.179637446443733e-05,-0.00010913193628658445,1.2644468602607262e-05,9.48247669160063e-06,-3.401929535703217e-05,-5.179637446902692e-05,0.00027954905770077865,5.9599600191885866e-05,1.0690919327200894e-06,2.7257010102737156e-05,-7.040894425769575e-06,-0.00010913193628205058,5.959960019073225e-05,0.00018537462382095526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361799224894,2,361799224894,camera_init,body,-0.014290496184280958,-0.007892420402900613,0.0287904871877451,-0.0008049800371853144,0.0012524855145353048,0.00038192032372919113,0.9999988187113238,5.014657418781953e-06,-3.7516194211095465e-08,1.8212809803200455e-06,-3.584709601379312e-07,5.804135447582879e-06,6.828689606559937e-07,-3.751619420281961e-08,3.842914730833554e-06,-4.4694023688883907e-07,-1.4988232570199237e-05,3.7530606898100732e-06,2.2051530416536457e-05,1.8212809802907664e-06,-4.469402368870042e-07,5.471974342042909e-06,3.006976366794283e-06,-2.9386763170005615e-05,-2.583147899754915e-06,-3.5847096017943244e-07,-1.498823257019681e-05,3.006976366796661e-06,7.402720093931288e-05,-2.662125697172779e-05,-8.601550806267535e-05,5.8041354477700304e-06,3.753060689770965e-06,-2.938676316991256e-05,-2.6621256971568337e-05,0.00022466899413455498,2.493773031121822e-05,6.828689607066364e-07,2.2051530416534794e-05,-2.583147899759815e-06,-8.601550806267255e-05,2.4937730311418858e-05,0.00015526390864383129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361898023217,3,361898023217,camera_init,body,-0.011054307710731412,-0.010408489105691643,0.020941193250160032,-0.0019923937053141177,0.0016343526010606931,-0.0006018502663907962,0.9999964985114482,5.167223406161666e-06,-1.5815307060007736e-07,1.7148136615067027e-06,-1.7070997830510042e-07,6.5278901199253115e-06,-6.182435252368167e-07,-1.5815307060222173e-07,2.5171925266502244e-06,-3.3030630191256055e-07,-8.91493458638969e-06,2.2145916598111275e-06,1.3765612964889446e-05,1.7148136614994534e-06,-3.3030630191502944e-07,4.742490571134086e-06,1.6067728195667415e-06,-2.4958699553406577e-05,-2.1878761114003663e-06,-1.707099782747347e-07,-8.91493458641224e-06,1.6067728194844501e-06,4.529977080451532e-05,-1.5084550638643277e-05,-4.938800852426499e-05,6.527890119972644e-06,2.214591659838517e-06,-2.4958699553367315e-05,-1.5084550639325348e-05,0.00019691415858438528,1.5558820891407857e-05,-6.182435252241851e-07,1.3765612964859711e-05,-2.18787611146618e-06,-4.9388008524003804e-05,1.5558820891887142e-05,0.00010102129783709046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361996496537,4,361996496537,camera_init,body,-0.010944688327336072,-0.016353975154753776,0.02731029109152518,-0.0018885673667376787,0.0016232114279946756,-8.461137957339938e-05,0.9999968956646202,4.8545475807682225e-06,-1.8618225921644067e-07,1.796005462164792e-06,2.4016574846694014e-08,4.938531832560498e-06,-1.2837722085163537e-07,-1.8618225921855804e-07,2.6324920187712432e-06,-4.531947914543873e-07,-9.558016532508326e-06,2.933533145360488e-06,1.4295473896582267e-05,1.796005462166026e-06,-4.531947914657453e-07,4.6395651307916446e-06,2.1512188317105358e-06,-2.3594968990767994e-05,-2.3524267467556728e-06,2.4016574871173954e-08,-9.558016532538343e-06,2.151218831601258e-06,4.766904852080298e-05,-1.728408440396582e-05,-5.4233526553509664e-05,4.938531832550403e-06,2.9335331454482657e-06,-2.3594968990766327e-05,-1.7284084404810668e-05,0.00018079892133438669,1.8600649659286218e-05,-1.2837722084795342e-07,1.4295473896549204e-05,-2.3524267467515405e-06,-5.423352655318347e-05,1.8600649659254403e-05,0.00010035690361254453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
362095147034,5,362095147034,camera_init,body,-0.011225085455042546,-0.01844389773242898,0.029263153033861407,-0.0028210365911805774,0.0012981405796786906,-0.0004413516197182484,0.9999950808840691,5.276193260759401e-06,-2.001631189413559e-07,1.9014517350751385e-06,-1.0360166003580619e-07,5.235818374695525e-06,2.8271110685110123e-08,-2.0016311894339123e-07,2.479394953467569e-06,-4.151377042283398e-07,-9.048444693804357e-06,2.8458457454490013e-06,1.3337969221042818e-05,1.9014517350768615e-06,-4.1513770423829957e-07,4.182125134475903e-06,2.3711539115217435e-06,-2.035244651179826e-05,-2.240943268517172e-06,-1.0360166001471666e-07,-9.04844469383022e-06,2.3711539114407464e-06,4.498145281034295e-05,-1.9610141273979657e-05,-5.211777168843997e-05,5.235818374683292e-06,2.845845745526177e-06,-2.035244651180193e-05,-1.9610141274610896e-05,0.00015948413500532313,1.9351827931682906e-05,2.8271110687397456e-08,1.3337969221014537e-05,-2.2409432685034347e-06,-5.2117771688161725e-05,1.9351827931581903e-05,9.479730373246396e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
362199159715,6,362199159715,camera_init,body,-0.011632561819977846,-0.016625446994963426,0.029119407625521898,-0.0024917255780095345,0.0013528689118823235,-0.0006032291122799884,0.9999957985731691,5.666067994966817e-06,5.410274601789759e-09,2.2912758579781502e-06,-1.415991689665122e-06,4.5911257855080595e-06,1.3736919484789839e-06,5.410274599547292e-09,2.475010055891611e-06,-3.158391025653518e-07,-9.146665820711122e-06,3.015808259161417e-06,1.3358433587331745e-05,2.2912758579770207e-06,-3.1583910257231287e-07,4.040042620899454e-06,1.2850125086641048e-06,-1.7582984376762664e-05,-1.3173351944302415e-06,-1.4159916896501053e-06,-9.146665820732435e-06,1.285012508604809e-06,4.6119377411303256e-05,-1.796854798571597e-05,-5.3357241096974475e-05,4.591125785515156e-06,3.015808259219088e-06,-1.7582984376755017e-05,-1.796854798617759e-05,0.0001385005910561744,1.8958387522909294e-05,1.3736919484704608e-06,1.3358433587310863e-05,-1.3173351944168165e-06,-5.335724109674671e-05,1.8958387522766996e-05,9.281101258500062e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
362299315485,7,362299315485,camera_init,body,-0.01199186987648917,-0.019351412977319855,0.02995421607120863,-0.0022482915729949903,0.0013865202405640943,0.000109175075694544,0.9999965054076081,6.221053001100952e-06,-2.497055010460957e-07,2.696107546361793e-06,-2.5673940146715996e-08,3.7722425634732483e-06,-4.418649959102935e-07,-2.4970550104739617e-07,2.3059581328920017e-06,-4.5521748282963605e-07,-8.613647349166185e-06,2.9465669675908982e-06,1.2402297465583386e-05,2.696107546362435e-06,-4.5521748283487347e-07,4.009300571395493e-06,2.330775669707265e-06,-1.5896705901878812e-05,-2.4278981791972807e-06,-2.5673940135796682e-08,-8.613647349180385e-06,2.330775669669436e-06,4.439569763050225e-05,-2.0032258411952766e-05,-5.027907625633179e-05,3.7722425634664818e-06,2.946566967632272e-06,-1.589670590187713e-05,-2.003225841224741e-05,0.00012302405164709468,1.9565601946543954e-05,-4.4186499591323146e-07,1.2402297465569931e-05,-2.427898179179656e-06,-5.027907625618757e-05,1.9565601946401524e-05,8.672963647861764e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
362399172883,8,362399172883,camera_init,body,-0.013472185162170405,-0.014534575712611957,0.03181200197890916,8.140385298740168e-05,0.0016503662161820626,0.001016026079223129,0.9999981186761164,6.1194502963485826e-06,-3.005496099512589e-07,2.340027395941623e-06,-4.4526750960051e-07,4.6589128228332065e-06,-5.741394004874655e-07,-3.0054960995249616e-07,2.1679869865717983e-06,-3.6083551019871654e-07,-7.862154778176461e-06,2.327423455265401e-06,1.1327735579369042e-05,2.34002739594172e-06,-3.6083551020193817e-07,3.5946713767195316e-06,1.5837471380744672e-06,-1.4855951637300704e-05,-1.729327383695583e-06,-4.4526750959187405e-07,-7.862154778183881e-06,1.5837471380526375e-06,4.094968380011195e-05,-1.701679327402289e-05,-4.503640611385605e-05,4.658912822830324e-06,2.3274234552924834e-06,-1.4855951637298608e-05,-1.7016793274199795e-05,0.00011914611322018357,1.511813570372003e-05,-5.74139400492461e-07,1.132773557936262e-05,-1.7293273836828522e-06,-4.503640611378218e-05,1.5118135703606992e-05,7.802697051434997e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
362498574025,9,362498574025,camera_init,body,-0.013636093046290303,-0.014391118797799966,0.03418515861909869,-0.0020267935071185397,0.0015499680104249687,-0.0003200063408663768,0.9999966936461281,5.625173223922566e-06,-8.911618110615923e-08,2.4833504661972578e-06,-5.986050386317885e-07,3.060898853571166e-06,1.677556965389727e-07,-8.911618110647785e-08,2.061904780630571e-06,-2.792120660270243e-07,-7.397716357286096e-06,2.168761926100239e-06,1.0559178731977574e-05,2.483350466197645e-06,-2.792120660291427e-07,3.7490362489568468e-06,1.4653915696502666e-06,-1.4937030431376289e-05,-1.4597112785094107e-06,-5.986050386299047e-07,-7.397716357288925e-06,1.4653915696392945e-06,3.867647443153042e-05,-1.5247328320268182e-05,-4.158833090729065e-05,3.0608988535692055e-06,2.1687619261163968e-06,-1.4937030431377613e-05,-1.5247328320352291e-05,0.00011503194565418497,1.3839360333976442e-05,1.6775569653743798e-07,1.0559178731976596e-05,-1.4597112784982974e-06,-4.1588330907267186e-05,1.383936033389228e-05,7.238259999276775e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
